Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Login_Excel,Chrome 122.0.0.0,,,02-03-2024 20:10:43,02-03-2024 20:12:44,2m - 0.861s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Login,Chrome 122.0.0.0,,,02-03-2024 20:10:44,02-03-2024 20:12:44,1m - 59.914s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 122.0.0.0,,,02-03-2024 20:10:44,02-03-2024 20:11:20,35.635s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,02-03-2024 20:11:20,02-03-2024 20:11:36,15.849s,PASSED
"navigateToUrl(""https://www.amazon.in/"")",Chrome 122.0.0.0,,,02-03-2024 20:11:36,02-03-2024 20:12:02,26.187s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Online Shopping site in India Shop Onl_10c5f3/span_Hello, sign in""))",Chrome 122.0.0.0,,,02-03-2024 20:12:02,02-03-2024 20:12:12,10.148s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign In/input_Email or mobile phone number_email""), username)",Chrome 122.0.0.0,,,02-03-2024 20:12:12,02-03-2024 20:12:13,1.327s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign In/input_Enter your email or mobile phone numb_fc7402""))",Chrome 122.0.0.0,,,02-03-2024 20:12:13,02-03-2024 20:12:26,12.396s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign In/input_Forgot Password_password""), password)",Chrome 122.0.0.0,,,02-03-2024 20:12:26,02-03-2024 20:12:27,1.346s,PASSED
"click(findTestObject(""Object Repository/Amazon_Login_OR/Page_Amazon Sign In/input_Enter your password_signInSubmit""))",Chrome 122.0.0.0,,,02-03-2024 20:12:27,02-03-2024 20:12:43,15.691s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,02-03-2024 20:12:43,02-03-2024 20:12:44,0.993s,PASSED
Start listener action : sampleAfterTestCase,Chrome 122.0.0.0,,,02-03-2024 20:12:44,02-03-2024 20:12:44,0.072s,PASSED
